연월일,읍면동,법정동리,인구(계),인구(남),인구(여),세대수,기준일자
2021-03-31,장흥면,울대리,754,426,328,376,2022-12-20
2021-03-31,장흥면,부곡리,3766,1838,1928,1752,2022-12-20
2021-03-31,장흥면,석현리,407,209,198,249,2022-12-20
2021-03-31,장흥면,일영리,2726,1336,1390,1390,2022-12-20
2021-03-31,장흥면,삼상리,1003,547,456,475,2022-12-20
2021-03-31,장흥면,삼하리,684,369,315,330,2022-12-20
2021-03-31,양주1동,유양동,706,393,313,383,2022-12-20
2021-03-31,양주1동,어둔동,330,176,154,157,2022-12-20
2021-03-31,양주1동,남방동,1156,617,539,686,2022-12-20
2021-03-31,양주1동,마전동,564,302,262,302,2022-12-20
2021-03-31,양주1동,산북동,2597,1327,1270,1202,2022-12-20
2021-03-31,양주2동,광사동,11547,5819,5728,4762,2022-12-20
2021-03-31,양주2동,만송동,9300,4366,4934,3996,2022-12-20
2021-03-31,양주2동,삼숭동,20103,9875,10228,7225,2022-12-20
2021-03-31,양주2동,고읍동,9058,4387,4671,3136,2022-12-20
2021-03-31,회천1동,덕정동,8452,4331,4121,3855,2022-12-20
2021-03-31,회천1동,봉양동,1290,806,484,836,2022-12-20
2021-03-31,회천2동,덕계동,21869,11101,10768,9319,2022-12-20
2021-03-31,회천2동,회정동,5267,2683,2584,2217,2022-12-20
2021-03-31,회천3동,덕정동,10307,5111,5196,3682,2022-12-20
2021-03-31,회천3동,고암동,17175,8506,8669,7233,2022-12-20
2021-03-31,회천4동,회암동,951,553,398,549,2022-12-20
2021-03-31,회천4동,율정동,575,353,222,372,2022-12-20
2021-03-31,회천4동,옥정동,50205,25151,25054,19877,2022-12-20
2021-04-30,백석읍,방성리,6348,3314,3034,3162,2022-12-20
2021-04-30,백석읍,오산리,3526,1806,1720,1583,2022-12-20
2021-04-30,백석읍,복지리,9480,4636,4844,3551,2022-12-20
2021-04-30,백석읍,가업리,4852,2393,2459,2060,2022-12-20
2021-04-30,백석읍,홍죽리,882,485,397,479,2022-12-20
2021-04-30,백석읍,연곡리,697,388,309,359,2022-12-20
2021-04-30,백석읍,기산리,492,266,226,363,2022-12-20
2021-04-30,은현면,용암리,1300,732,568,677,2022-12-20
2021-04-30,은현면,선암리,1154,668,486,608,2022-12-20
2021-04-30,은현면,운암리,751,432,319,411,2022-12-20
2021-04-30,은현면,봉암리,934,520,414,527,2022-12-20
2021-04-30,은현면,하패리,1011,578,433,541,2022-12-20
2021-04-30,은현면,도하리,719,410,309,390,2022-12-20
2021-04-30,남면,신산리,3024,1651,1373,1533,2022-12-20
2021-04-30,남면,신암리,340,187,153,199,2022-12-20
2021-04-30,남면,매곡리,317,147,170,176,2022-12-20
2021-04-30,남면,구암리,395,230,165,224,2022-12-20
2021-04-30,남면,두곡리,143,78,65,100,2022-12-20
2021-04-30,남면,경신리,291,182,109,179,2022-12-20
2021-04-30,남면,상수리,1031,611,420,614,2022-12-20
2021-04-30,남면,입암리,414,254,160,250,2022-12-20
2021-04-30,남면,한산리,580,322,258,323,2022-12-20
2021-04-30,남면,황방리,333,185,148,164,2022-12-20
2021-04-30,광적면,가납리,5345,2880,2465,2599,2022-12-20
2021-04-30,광적면,광석리,1402,732,670,618,2022-12-20
2021-04-30,광적면,우고리,633,266,367,246,2022-12-20
2021-04-30,광적면,비암리,364,180,184,207,2022-12-20
2021-04-30,광적면,효촌리,552,312,240,276,2022-12-20
2021-04-30,광적면,덕도리,888,520,368,494,2022-12-20
2021-04-30,광적면,석우리,2707,1537,1170,1504,2022-12-20
2021-04-30,장흥면,교현리,1108,624,484,529,2022-12-20
2021-04-30,장흥면,울대리,763,432,331,380,2022-12-20
2021-04-30,장흥면,부곡리,3800,1857,1943,1785,2022-12-20
2021-04-30,장흥면,석현리,403,209,194,253,2022-12-20
2021-04-30,장흥면,일영리,2712,1336,1376,1366,2022-12-20
2021-04-30,장흥면,삼상리,1016,552,464,485,2022-12-20
2021-04-30,장흥면,삼하리,673,363,310,329,2022-12-20
2021-04-30,양주1동,유양동,705,394,311,388,2022-12-20
2021-04-30,양주1동,어둔동,334,178,156,160,2022-12-20
2021-04-30,양주1동,남방동,1128,609,519,664,2022-12-20
2021-04-30,양주1동,마전동,551,297,254,302,2022-12-20
2021-04-30,양주1동,산북동,2606,1335,1271,1212,2022-12-20
